"id","sex","sterilized","birth_date","flagged_deceased_date","region","environ","origin","size","breed1","breed2","purebred","owner_breed","reg_breed","regseq_breed","geno_wgs","geno_axiom","geno_lowpass","other_population","owner_label","responses","response_rate","mutt","cand","conf","consensus_breed"
99,"male","yes",2008-01-01,NA,NA,NA,"breeder",NA,NA,NA,"yes",NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA
100,"female","yes",2011-04-12,NA,"Northeast (New England)","urban","breeder",3,"poodle",NA,"yes","poodle","poodle","poodle",FALSE,FALSE,TRUE,NA,NA,118,1,FALSE,TRUE,TRUE,"poodle"
101,"female","yes",2012-10-11,NA,NA,NA,"rescue",1,"miniature schnauzer",NA,NA,"miniature schnauzer",NA,NA,FALSE,FALSE,FALSE,NA,NA,118,1,FALSE,TRUE,FALSE,"miniature schnauzer"
102,"male",NA,NA,NA,NA,NA,NA,NA,"pug",NA,NA,"pug",NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,"pug"
103,"male","yes",2012-01-01,NA,"Northeast (New England)","urban","other",0,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,118,1,TRUE,FALSE,FALSE,NA
104,"female","yes",2012-06-23,NA,NA,NA,"rescue",1,NA,NA,"no",NA,NA,NA,FALSE,TRUE,FALSE,NA,NA,118,1,TRUE,FALSE,FALSE,NA
105,"male","yes",2005-10-14,NA,"West (Pacific)","urban","rescue",1,"tibetan spaniel",NA,NA,"tibetan spaniel",NA,NA,FALSE,FALSE,FALSE,NA,NA,88,0.745762711864407,FALSE,TRUE,FALSE,"tibetan spaniel"
106,"male","yes",2013-04-12,NA,"West (Pacific)","urban","other",3,"tibetan spaniel",NA,NA,"tibetan spaniel",NA,NA,FALSE,FALSE,FALSE,NA,NA,88,0.745762711864407,FALSE,TRUE,FALSE,"tibetan spaniel"
107,"female","yes",2005-04-12,NA,"West (Pacific)","urban","rescue",0,"chihuahua",NA,NA,"chihuahua",NA,NA,FALSE,FALSE,FALSE,NA,NA,88,0.745762711864407,FALSE,TRUE,FALSE,"chihuahua"
108,"male","yes",2006-04-12,NA,"West (Pacific)","urban","rescue",1,"chihuahua","jack russell terrier",NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,38,0.322033898305085,TRUE,FALSE,FALSE,NA
109,"male","yes",2010-04-12,NA,"West (Pacific)","urban","rescue",2,"tibetan spaniel",NA,NA,"tibetan spaniel",NA,NA,FALSE,FALSE,FALSE,NA,NA,38,0.322033898305085,FALSE,TRUE,FALSE,"tibetan spaniel"
110,"male","yes",2007-04-12,NA,"West (Pacific)","urban","shelter",2,"poodle","bichon frise",NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,38,0.322033898305085,TRUE,FALSE,FALSE,NA
111,"male","yes",2009-04-01,NA,"Northeast (New England)","suburban","shelter",3,"american pit bull terrier","boxer",NA,NA,NA,"american pit bull terrier",FALSE,TRUE,FALSE,NA,NA,118,1,FALSE,TRUE,TRUE,"american pit bull terrier"
112,"female","yes",2001-10-15,2018-08-20,"Northeast (New England)","suburban","shelter",1,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,118,1,TRUE,FALSE,FALSE,NA
113,"male","yes",2007-01-01,NA,"Northeast (New England)","urban","shelter",2,"larger hound",NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,115,0.974576271186441,TRUE,FALSE,FALSE,NA
114,"female","yes",2011-10-21,NA,"Northeast (New England)","urban","rescue",3,"dalmatian",NA,NA,"dalmatian",NA,NA,FALSE,TRUE,FALSE,NA,NA,115,0.974576271186441,TRUE,FALSE,FALSE,NA
115,"female","yes",2009-05-01,NA,NA,NA,"rescue",2,"labrador retriever",NA,NA,"labrador retriever",NA,NA,FALSE,FALSE,FALSE,NA,NA,92,0.779661016949153,FALSE,TRUE,FALSE,"labrador retriever"
116,"male","yes",2014-06-06,NA,"Northeast (New England)","urban","rescue",2,"australian cattle dog","australian cattle dog",NA,"australian cattle dog",NA,NA,FALSE,FALSE,FALSE,NA,NA,118,1,FALSE,TRUE,FALSE,"australian cattle dog"
117,"female","yes",2014-01-01,NA,"Northeast (New England)","urban","shelter",1,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,118,1,TRUE,FALSE,FALSE,NA
118,"female","yes",2011-04-28,NA,NA,NA,"rescue",2,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,18,0.152542372881356,TRUE,FALSE,FALSE,NA
119,"male","yes",2010-03-23,NA,"Northeast (New England)","urban","rescue",3,"great dane","german shepherd dog","no",NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,116,0.983050847457627,TRUE,FALSE,FALSE,NA
120,"male","yes",2010-03-01,NA,"Northeast (New England)","suburban","rescue",1,"miniature schnauzer","skye terrier","no",NA,NA,NA,FALSE,TRUE,FALSE,NA,NA,118,1,TRUE,FALSE,FALSE,NA
121,"male","yes",2009-01-01,NA,"Northeast (New England)","suburban","rescue",1,"lhasa apso",NA,"no","lhasa apso",NA,NA,FALSE,TRUE,FALSE,NA,NA,118,1,FALSE,TRUE,FALSE,"lhasa apso"
122,"male","yes",NA,NA,"Northeast (New England)","rural","shelter",NA,"poodle",NA,NA,"poodle",NA,"poodle",FALSE,TRUE,FALSE,NA,NA,118,1,FALSE,TRUE,TRUE,"poodle"
123,"male","yes",2013-01-15,NA,"Northeast (New England)","urban","breeder",1,"jack russell terrier",NA,"yes","jack russell terrier","jack russell terrier","jack russell terrier",FALSE,TRUE,FALSE,NA,NA,118,1,FALSE,TRUE,TRUE,"jack russell terrier"
124,"male","yes",2005-10-01,NA,"Northeast (New England)","urban","shelter",1,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,NA,NA,118,1,TRUE,FALSE,FALSE,NA
125,"male","yes",2012-01-01,NA,"Northeast (New England)","urban","rescue",2,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,118,1,TRUE,FALSE,FALSE,NA
126,"female","yes",2003-07-17,NA,NA,NA,"breeder",NA,"labrador retriever",NA,"yes","labrador retriever","labrador retriever","labrador retriever",FALSE,FALSE,FALSE,NA,NA,20,0.169491525423729,FALSE,TRUE,TRUE,"labrador retriever"
127,"male","yes",2006-10-20,NA,NA,NA,"rescue",NA,"australian shepherd",NA,NA,"australian shepherd",NA,NA,FALSE,FALSE,FALSE,NA,NA,110,0.932203389830508,FALSE,TRUE,FALSE,"australian shepherd"
128,"female","yes",2011-11-15,NA,NA,NA,"breeder",2,"vizsla",NA,"yes","vizsla","vizsla","vizsla",FALSE,TRUE,FALSE,NA,NA,48,0.406779661016949,FALSE,TRUE,TRUE,"vizsla"
